entry_date,exit_date,ticker1,ticker2,direction,entry_price1,entry_price2,exit_price1,exit_price2,pnl,transaction_cost,duration,duration_days
2020-04-02,2020-04-03,AAPL,CAT,long,59.43937301635742,104.95313262939452,58.585147857666016,103.09214782714844,-0.04513898312034245,0.11134873129849529,1 days,1
2020-04-08,2020-04-09,AAPL,CAT,long,64.56961059570312,114.5368423461914,65.03555297851562,112.4061279296875,1.3985653422273505,0.1212190295973043,1 days,1
2020-05-04,2020-05-05,AAPL,CAT,short,71.14378356933594,97.7329559326172,72.21158599853516,98.8126449584961,-0.6532750548417722,0.11948207417942239,1 days,1
2020-05-06,2020-05-07,AAPL,CAT,short,72.95661163330078,97.68761444091795,73.71131134033203,97.34284973144533,-1.0464912941377862,0.12127247654080267,1 days,1
2020-05-08,2020-05-11,AAPL,CAT,short,75.46578216552734,101.71595764160156,76.65325927734375,98.54046630859376,-2.8838352213778733,0.12577404792137833,3 days,3
2020-05-12,2020-05-13,AAPL,CAT,short,75.7772445678711,95.26516723632812,74.8623046875,94.79336547851562,0.5586938261083932,0.12289497773111481,1 days,1
2020-05-14,2020-05-15,AAPL,CAT,short,75.32222747802734,96.34483337402344,74.87689208984375,97.91441345214844,1.0986688400333602,0.12297395876941289,1 days,1
2020-07-08,2020-07-09,AAPL,CAT,short,92.80105590820312,116.25069427490234,93.20011138916016,114.07323455810548,-1.6263156286603373,0.15029813854385837,1 days,1
2020-07-31,2020-08-03,AAPL,CAT,short,103.42752075195312,121.4632339477539,106.03363800048828,120.45775604248048,-3.266924905478764,0.16350270260827066,3 days,3
2020-08-04,2020-08-05,AAPL,CAT,short,106.74175262451172,120.22010803222656,107.12864685058594,123.37368774414062,1.0066503541778724,0.16620208986473967,1 days,1
2020-08-06,2020-08-07,AAPL,CAT,short,110.86629486083984,122.84349822998048,108.34564971923828,123.32795715332033,2.5886322472262475,0.17162414936689274,1 days,1
2020-08-10,2020-08-11,AAPL,CAT,short,109.92047119140624,129.81793212890625,106.65142059326172,130.2841339111328,3.32550410129367,0.17412785006137535,1 days,1
2020-08-12,2020-08-13,AAPL,CAT,short,110.19591522216795,130.32069396972656,112.1461181640625,128.5839385986328,-2.9838464758135173,0.17465195788969978,1 days,1
2020-08-14,2020-08-17,AAPL,CAT,short,112.04617309570312,127.93495178222656,111.75362396240234,126.8014678955078,-0.4433892552164854,0.17532223815916426,3 days,3
2020-08-18,2020-08-19,AAPL,CAT,short,112.68485260009766,126.48152923583984,112.82621002197266,126.16160583496094,-0.4748321916094916,0.17524206125779396,1 days,1
2020-08-20,2020-08-21,AAPL,CAT,short,115.32979583740234,125.6680145263672,121.27303314208984,126.53636932373048,-5.691237480761917,0.17748464369400732,1 days,1
2020-08-24,2020-08-25,AAPL,CAT,short,122.7234878540039,129.5071563720703,121.7166976928711,129.02268981933594,0.5803979742761705,0.18677715840004938,1 days,1
2020-08-26,2020-08-27,AAPL,CAT,short,123.37193298339844,129.64425659179688,121.89708709716795,131.05197143554688,1.9836020503942904,0.18749341269576464,1 days,1
2020-08-31,2020-09-01,AAPL,CAT,short,125.82672882080078,130.08302307128906,130.83872985839844,133.50169372558594,-3.5113067725735796,0.19016522050618334,1 days,1
2020-12-22,2020-12-23,AAPL,CAT,short,128.81787109375,162.39447021484375,127.91927337646484,164.08670043945312,1.5264298889119896,0.2091374625745224,1 days,1
2020-12-28,2020-12-29,AAPL,CAT,short,133.51617431640625,164.0406951904297,131.73846435546875,162.45889282226562,0.7807074779268481,0.21464998143733915,1 days,1
2021-01-25,2021-01-26,AAPL,CAT,short,139.60154724121094,173.20675659179688,139.8359832763672,173.08657836914062,-0.5191445041332978,0.2252688480597525,1 days,1
