entry_threshold,exit_threshold,return,sharpe,max_drawdown,num_trades
1.5,0.0,-0.013067551435468339,-3.9296600078398907,-0.013067551435468339,1177
1.5,0.5,-0.013067551435468339,-3.9296600078398907,-0.013067551435468339,1182
1.5,1.0,-0.013067551435468339,-3.9296600078398907,-0.013067551435468339,1182
2.0,0.0,-0.011698217983360126,-4.338286470021528,-0.011698217983360126,567
2.0,0.5,-0.011698217983360126,-4.338286470021528,-0.011698217983360126,567
2.0,1.0,-0.011698217983360126,-4.338286470021528,-0.011698217983360126,567
2.5,0.0,-0.007811354049261587,-6.278656254021115,-0.007811354049261587,253
2.5,0.5,-0.007811354049261587,-6.278656254021115,-0.007811354049261587,253
2.5,1.0,-0.007811354049261587,-6.278656254021115,-0.007811354049261587,253
3.0,0.0,-0.007341985571908127,-6.651996893877128,-0.007341985571908127,107
3.0,0.5,-0.007341985571908127,-6.651996893877128,-0.007341985571908127,107
3.0,1.0,-0.007341985571908127,-6.651996893877128,-0.007341985571908127,107
