Date,Price1,Price2,Spread,Z-Score,Signal,Return,CumulativeReturn
2020-01-03,40.77933883666992,43.27307891845703,30.006111073530036,,0.0,0.0,0.0
2020-01-06,40.92487716674805,43.120941162109375,30.18952548595476,,0.0,0.0,0.0
2020-01-07,40.65946960449219,43.03643035888672,29.945157659126075,,0.0,0.0,0.0
2020-01-08,40.68515396118164,43.58580017089844,29.834071389390992,,0.0,0.0,0.0
2020-01-09,40.513916015625,43.99993133544922,29.559731712433933,,0.0,0.0,0.0
2020-01-10,40.35124206542969,44.12670516967773,29.36549625969049,,0.0,0.0,0.0
2020-01-13,41.07042694091797,44.60845565795898,29.964744956266298,,0.0,0.0,0.0
2020-01-14,40.91631317138672,44.676082611083984,29.793794839815618,,0.0,0.0,0.0
2020-01-15,41.10468292236328,44.74368667602539,29.965333942094865,,0.0,0.0,0.0
2020-01-16,41.99508285522461,47.70181655883789,30.11928045456191,,0.0,0.0,0.0
2020-01-17,41.96941375732422,48.60615539550781,29.86846795328001,,0.0,0.0,0.0
2020-01-21,41.78105163574219,47.2623176574707,30.014666495982063,,0.0,0.0,0.0
2020-01-22,42.01222229003906,47.21162414550781,30.258457762542715,,0.0,0.0,0.0
2020-01-23,41.95227813720703,46.93269729614258,30.26795499342015,,0.0,0.0,0.0
2020-01-24,41.823856353759766,46.10442352294922,30.34573952188478,,0.0,0.0,0.0
2020-01-27,40.642337799072266,44.88737106323242,29.46721727982218,,0.0,0.0,0.0
2020-01-28,40.89918518066406,45.65647506713867,29.53258920335289,,0.0,0.0,0.0
2020-01-29,40.28276062011719,45.3691291809082,28.987702022547253,,0.0,0.0,0.0
2020-01-30,40.445430755615234,45.78597259521485,29.046595187325174,,0.0,0.0,0.0
2020-01-31,39.358097076416016,44.4588508605957,28.289660570864413,,0.0,0.0,0.0
2020-02-03,39.8375358581543,44.748085021972656,28.697091869537612,,0.0,0.0,0.0
2020-02-04,40.7707633972168,45.95611953735352,29.32956819548545,,0.0,0.0,0.0
2020-02-05,41.48139190673828,46.78132247924805,29.834754904561095,,0.0,0.0,0.0
2020-02-06,41.68687438964844,46.79833221435547,30.036002658741914,,0.0,0.0,0.0
2020-02-07,41.07042694091797,46.81534957885742,29.415318581874736,,0.0,0.0,0.0
2020-02-10,41.84098052978516,47.08757019042969,30.11810036610987,,0.0,0.0,0.0
2020-02-11,42.06358337402344,47.453392028808594,30.24962852640867,,0.0,0.0,0.0
2020-02-12,42.7485237121582,47.79368591308594,30.849849597660864,,0.0,0.0,0.0
2020-02-13,40.513916015625,47.58100891113281,28.66818978094782,,0.0,0.0,0.0
2020-02-14,40.21426010131836,47.50442886352539,28.38759916810821,,0.0,0.0,0.0
2020-02-18,39.88892364501953,47.23220443725586,28.13003546614512,,0.0,0.0,0.0
2020-02-19,39.63206100463867,47.904273986816406,27.70585498032668,,0.0,0.0,0.0
2020-02-20,40.11151885986328,45.72642135620117,28.72750911579249,,0.0,0.0,0.0
2020-02-21,39.64062881469727,44.59496307373047,28.538305931977796,,0.0,0.0,0.0
2020-02-24,37.67143630981445,42.263973236083984,27.149434612048125,,0.0,0.0,0.0
2020-02-25,36.59266662597656,40.86028289794922,26.42012644330466,,0.0,0.0,0.0
2020-02-26,36.0960807800293,40.18821334838867,26.090858442794975,,0.0,0.0,0.0
2020-02-27,34.281009674072266,38.63138961791992,24.663372806940636,,0.0,0.0,0.0
2020-02-28,34.18682861328125,38.30810928344727,24.649675334599166,,0.0,0.0,0.0
2020-03-02,35.248477935791016,39.54166793823242,25.404218976641054,,0.0,0.0,0.0
2020-03-03,34.281009674072266,37.77215194702149,24.87728786365989,,0.0,0.0,0.0
2020-03-04,35.43683624267578,38.48677062988281,25.855203591928532,,0.0,0.0,0.0
2020-03-05,33.878597259521484,36.23233795166016,24.858226190482462,,0.0,0.0,0.0
2020-03-06,33.97278594970703,35.59429931640625,25.11126041953586,,0.0,0.0,0.0
2020-03-09,32.50017547607422,31.90215492248535,24.557842975016218,,0.0,0.0,0.0
2020-03-10,34.31526565551758,33.603607177734375,25.949341093713294,,0.0,0.0,0.0
2020-03-11,31.72105598449707,31.366209030151367,23.912152102597727,,0.0,0.0,0.0
2020-03-12,28.424814224243164,26.636171340942383,21.79349637568589,,0.0,0.0,0.0
2020-03-13,32.2262077331543,31.90215492248535,24.283875232096296,,0.0,0.0,0.0
2020-03-16,28.86145782470703,26.92542266845703,22.1581282194181,,0.0,0.0,0.0
2020-03-17,30.39400863647461,28.7459716796875,23.23743674655639,,0.0,0.0,0.0
2020-03-18,31.78099250793457,26.15976905822754,25.268279353724058,,0.0,0.0,0.0
2020-03-19,32.28612518310547,26.304393768310547,25.737406387955048,,0.0,0.0,0.0
2020-03-20,30.479616165161133,25.240989685058597,24.195641517629934,,0.0,0.0,0.0
2020-03-23,29.623449325561523,23.65863800048828,23.73341556518992,,0.0,0.0,0.0
2020-03-24,33.048118591308594,28.26105690002441,26.01227065950917,,0.0,0.0,0.0
2020-03-25,32.251888275146484,28.916114807128903,25.052957701490662,,0.0,0.0,0.0
2020-03-26,34.74333953857422,30.379358291625977,27.18012115075286,,0.0,0.0,0.0
2020-03-27,33.23647689819336,28.933128356933597,26.033310646104514,,0.0,0.0,0.0
2020-03-30,34.5207405090332,29.639236450195312,27.141782205529676,,0.0,0.0,0.0
2020-03-31,33.656005859375,28.92462730407715,26.45495602194714,-0.4597714161702856,0.0,0.0,0.0
2020-04-01,32.81695556640625,26.899900436401367,26.119979953618696,-0.5762959791254161,0.0,0.0,0.0
