Date,Price1,Price2,Spread,Z-Score,Signal,Return,CumulativeReturn
2022-10-10,170.55123901367188,116.22559356689452,-267.87654158325535,3.136439211378693,0.0,-0.010621504526415372,-0.21395012860436669
2022-10-11,171.5821533203125,116.66698455810548,-268.51064843686993,2.8506979604445815,-1.0,0.0,-0.21395012860436669
2022-10-12,171.34352111816406,116.85478973388672,-269.457721902904,2.591703706041745,0.0,0.0035271355961017828,-0.21117762412265595
2022-10-13,174.81809997558594,118.62033081054688,-272.64314134738197,2.2623563897753356,-1.0,0.0,-0.21117762412265595
2022-10-14,170.09304809570312,117.4652328491211,-273.0109168300618,2.1161022240792144,0.0,0.001348926222248925,-0.21011356093513822
2022-10-17,172.5844268798828,119.58763885498048,-278.5257071358162,1.7513609352850592,0.0,0.0,-0.21011356093513822
2022-10-18,175.20947265625,120.55493927001952,-279.54952527247315,1.631241227646916,0.0,0.0,-0.21011356093513822
2022-10-19,176.03042602539062,121.67250061035156,-282.9442521428204,1.4154801957170122,0.0,0.0,-0.21011356093513822
2022-10-20,172.33627319335938,120.1053237915039,-280.72667905112155,1.463450106090826,0.0,0.0,-0.21011356093513822
2022-10-21,182.79136657714844,121.609130859375,-275.94426734594424,1.6217103261796155,0.0,0.0,-0.21011356093513822
2022-10-24,183.82916259765625,122.35628509521484,-277.72489679722645,1.4871038386435582,0.0,0.0,-0.21011356093513822
2022-10-25,187.2309112548828,123.76551818847656,-279.6390765724658,1.3618526895567598,0.0,0.0,-0.21011356093513822
2022-10-26,189.2681579589844,124.63563537597656,-280.8840978754989,1.2617603377922717,0.0,0.0,-0.21011356093513822
2022-10-27,203.8553466796875,124.73021697998048,-266.65369118064865,1.818695848700894,0.0,0.0,-0.21011356093513822
2022-10-28,210.77413940429688,127.88914489746094,-271.6510497392719,1.5361028639594,0.0,0.0,-0.21011356093513822
2022-10-31,208.0066070556641,127.36895751953124,-272.45632411527504,1.447291769016999,0.0,0.0,-0.21011356093513822
2022-11-01,209.96694946289065,127.56756591796876,-271.2451750368376,1.446316365147073,0.0,0.0,-0.21011356093513822
2022-11-02,206.16159057617188,125.73274230957033,-268.1291871037273,1.5245731211962557,0.0,0.0,-0.21011356093513822
2022-11-03,210.697265625,124.87207794189452,-260.3469021045548,1.7878720948102176,0.0,0.0,-0.21011356093513822
2022-11-04,218.95184326171875,127.15142059326172,-260.6904921277299,1.703494377498672,0.0,0.0,-0.21011356093513822
2022-11-07,219.68212890625,129.09976196289062,-267.30976656128877,1.3718397639338662,0.0,0.0,-0.21011356093513822
2022-11-08,220.83526611328125,129.3929443359375,-267.26257592919245,1.3270798061239668,0.0,0.0,-0.21011356093513822
2022-11-09,216.7320251464844,129.08082580566406,-270.1884390886461,1.1703740014730453,0.0,0.0,-0.21011356093513822
2022-11-10,223.3721618652344,133.52603149414062,-280.3165683299568,0.7286110340058605,0.0,0.0,-0.21011356093513822
2022-11-11,227.25439453125,133.327392578125,-275.6850272163247,0.8947485119995775,0.0,0.0,-0.21011356093513822
2022-11-14,227.26397705078125,133.33685302734375,-275.7111315332908,0.8681403714049889,0.0,0.0,-0.21011356093513822
2022-11-15,225.4285888671875,132.87344360351562,-275.79844032265265,0.8408971166105453,0.0,0.0,-0.21011356093513822
2022-11-16,223.3433380126953,134.0556640625,-282.3432794322091,0.5234398254807013,0.0,0.0,-0.21011356093513822
2022-11-17,221.44065856933597,133.2328338623047,-281.1420674915066,0.5534991003894,0.0,0.0,-0.21011356093513822
2022-11-18,222.3919982910156,134.84066772460938,-286.25582075137504,0.2845606096226262,0.0,0.0,-0.21011356093513822
2022-11-21,223.1031036376953,136.55255126953125,-292.00230602830027,-0.020937699875387503,0.0,0.0,-0.21011356093513822
2022-11-22,227.99432373046875,137.72531127929688,-291.5349873540938,-0.021992369434305773,0.0,0.0,-0.21011356093513822
2022-11-23,227.66758728027344,138.51031494140625,-294.82292540177536,-0.21064142659236543,0.0,0.0,-0.21011356093513822
2022-11-25,226.4952392578125,138.7656707763672,-296.95853021259563,-0.3430635280724138,0.0,0.0,-0.21011356093513822
2022-11-28,223.22802734375,138.65219116210938,-299.7976727669313,-0.5062238210533503,0.0,0.0,-0.21011356093513822
2022-11-29,225.93788146972656,137.59291076660156,-293.0919865821146,-0.18139315311970508,0.0,0.0,-0.21011356093513822
2022-11-30,227.17752075195312,141.07339477539062,-304.9814768878407,-0.8353149860429188,0.0,0.0,-0.21011356093513822
2022-12-01,226.4856414794922,141.1584930419922,-305.9943650105365,-0.8942228571398342,0.0,0.0,-0.21011356093513822
2022-12-02,226.9084625244141,142.4447784423828,-310.42368742214956,-1.149656714312554,0.0,0.0,-0.21011356093513822
2022-12-05,223.4875030517578,141.00718688964844,-308.4217442919685,-1.0481533380407453,0.0,0.0,-0.21011356093513822
2022-12-06,219.3746337890625,141.18687438964844,-313.21243321045813,-1.3228557947613229,0.0,0.0,-0.21011356093513822
2022-12-07,220.0376739501953,142.0948486328125,-315.9744659618632,-1.4817875517462158,0.0,0.0,-0.21011356093513822
2022-12-08,221.9019317626953,143.11630249023438,-317.96335042162775,-1.5835372788722761,0.0,0.0,-0.21011356093513822
2022-12-09,218.4136657714844,142.73797607421875,-320.02448830942785,-1.6847125614552898,0.0,0.0,-0.21011356093513822
2022-12-12,223.9583282470703,144.20396423339844,-320.00984650558485,-1.6610270636615854,0.0,0.0,-0.21011356093513822
2022-12-13,226.29345703125,143.98638916015625,-316.8539780413804,-1.4868966600175442,0.0,0.0,-0.21011356093513822
2022-12-14,225.3228912353516,144.55389404296875,-319.9652935518087,-1.648255336326723,0.0,0.0,-0.21011356093513822
2022-12-15,221.65206909179688,142.91766357421875,-317.4639046449097,-1.5060719339788642,0.0,0.0,-0.21011356093513822
2022-12-16,223.6316070556641,142.28399658203125,-313.0940393486861,-1.2711090185053726,0.0,0.0,-0.21011356093513822
2022-12-19,223.2183837890625,142.24615478515625,-313.3645152692984,-1.3025939952799443,0.0,0.0,-0.21011356093513822
2022-12-20,225.9571075439453,142.30291748046875,-310.83991253339946,-1.1933338532454998,0.0,0.0,-0.21011356093513822
2022-12-21,232.28976440429688,143.60809326171875,-309.43065768375004,-1.154795602369375,0.0,0.0,-0.21011356093513822
2022-12-22,228.26336669921875,143.93911743164062,-314.7057493097524,-1.456696579999854,0.0,0.0,-0.21011356093513822
2022-12-23,230.50238037109372,144.34580993652344,-314.00086669136647,-1.3986546878475887,0.0,0.0,-0.21011356093513822
2022-12-27,233.64468383789065,145.6036834716797,-315.6035310527851,-1.451847865998895,0.0,0.0,-0.21011356093513822
2022-12-28,230.0315399169922,143.7216033935547,-312.117066649609,-1.217643507574947,0.0,0.0,-0.21011356093513822
2022-12-29,230.81948852539065,144.3174285888672,-313.57669802757766,-1.2627737185016747,0.0,0.0,-0.21011356093513822
2022-12-30,230.2045135498047,143.34326171875,-310.516907353972,-1.0650381939844926,0.0,0.0,-0.21011356093513822
2023-01-03,229.55105590820312,143.3527374267578,-311.2061093914846,-1.07132231291562,0.0,0.0,-0.21011356093513822
2023-01-04,231.9342041015625,143.97694396972656,-311.17760169398423,-1.035165875231521,0.0,0.0,-0.21011356093513822
2023-01-05,230.8963928222656,142.1894073486328,-305.472442776525,-0.7060397909261129,0.0,0.0,-0.21011356093513822
2023-01-06,239.14129638671875,145.57533264160156,-309.9999731132924,-0.9163615583198816,0.0,0.0,-0.21011356093513822
2023-01-09,236.98878479003903,143.79725646972656,-305.44520134971333,-0.6466808297844917,0.0,0.0,-0.21011356093513822
2023-01-10,240.72686767578125,143.65538024902344,-301.1719310353386,-0.39437336595394346,0.0,0.0,-0.21011356093513822
2023-01-11,240.93829345703125,142.49209594726562,-296.57234823143267,-0.1260103772033359,0.0,0.0,-0.21011356093513822
2023-01-12,245.10877990722656,141.6881561279297,-289.36922895134273,0.28444106436844624,0.0,0.0,-0.21011356093513822
2023-01-13,248.3664093017578,142.7001495361328,-289.9290549925788,0.26540762784592165,0.0,0.0,-0.21011356093513822
2023-01-17,246.2523193359375,142.28399658203125,-290.4733270684127,0.24645017744051909,0.0,0.0,-0.21011356093513822
2023-01-18,242.9466857910156,138.4724884033203,-279.4011371044576,0.8630119933341566,0.0,0.0,-0.21011356093513822
2023-01-19,237.2789764404297,135.54403686523438,-274.0221013361235,1.1564421794439281,0.0,0.0,-0.21011356093513822
2023-01-20,241.1024932861328,136.06747436523438,-272.1731026181692,1.2538297056283192,0.0,0.0,-0.21011356093513822
2023-01-23,243.9894256591797,134.24017333984375,-262.39320021625,1.7751248366694306,0.0,0.0,-0.21011356093513822
2023-01-24,248.7301788330078,134.97300720214844,-260.4168530044495,1.8303776287622373,0.0,0.0,-0.21011356093513822
2023-01-25,249.5315704345703,134.87782287597656,-259.2564057801929,1.8320883922716493,0.0,0.0,-0.21011356093513822
2023-01-26,253.08470153808597,134.33534240722656,-253.6569224006241,2.0962557009910636,-1.0,0.0,-0.21011356093513822
2023-01-27,255.4212951660156,133.78334045410156,-249.23805942248916,2.253220657684325,0.0,-0.01742062836809088,-0.22387387904308187
2023-01-30,252.486083984375,134.20213317871094,-253.75304627268724,1.9439600656798213,0.0,0.0,-0.22387387904308187
2023-01-31,243.5935516357422,135.5059814453125,-267.5639729630298,1.2282436330072068,0.0,0.0,-0.22387387904308187
2023-02-01,240.9383544921875,136.27685546875,-273.12707168697955,0.9609163685182894,0.0,0.0,-0.22387387904308187
2023-02-02,236.4582977294922,135.3061065673828,-273.94525610915326,0.9442782156485995,0.0,0.0,-0.22387387904308187
2023-02-03,239.2196807861328,135.72486877441406,-272.76353360224266,1.0263523286960887,0.0,0.0,-0.22387387904308187
