Date,Price1,Price2,Spread,Z-Score,Signal,Return,CumulativeReturn
2020-01-03,151.4141082763672,107.69068145751952,-285.9412840582996,,0.0,0.0,0.0
2020-01-06,151.8054962158203,107.8400650024414,-286.1565753413512,,0.0,0.0,0.0
2020-01-07,150.4213409423828,107.17235565185548,-284.82901701953,,0.0,0.0,0.0
2020-01-08,152.81735229492188,107.62920379638672,-284.2883658224343,,0.0,0.0,0.0
2020-01-09,154.72645568847656,108.8064193725586,-287.1601921547466,,0.0,0.0,0.0
2020-01-10,154.0105438232422,108.911865234375,-288.3043427091657,,0.0,0.0,0.0
2020-01-13,155.86244201660156,109.7113037109375,-289.6991388800011,,0.0,0.0,0.0
2020-01-14,154.76466369628906,109.5443878173828,-290.11903527845664,,0.0,0.0,0.0
2020-01-15,155.7669677734375,110.66014099121094,-293.6480486791417,,0.0,0.0,0.0
2020-01-16,158.62112426757812,110.75677490234376,-291.1863436166786,,0.0,0.0,0.0
2020-01-17,159.5089111328125,111.05548095703124,-291.51166731934524,,0.0,0.0,0.0
2020-01-21,158.93614196777344,110.77434539794922,-290.94268353902805,,0.0,0.0,0.0
2020-01-22,158.17251586914062,110.9676284790039,-292.49127447029286,,0.0,0.0,0.0
2020-01-23,159.14617919921875,110.46035766601562,-289.4574735086971,,0.0,0.0,0.0
2020-01-24,157.54246520996094,110.5929183959961,-291.59954559249115,,0.0,0.0,0.0
2020-01-27,154.90786743164062,111.07898712158205,-296.20817469184186,,0.0,0.0,0.0
2020-01-28,157.9434051513672,111.37946319580078,-294.39293597615637,,0.0,0.0,0.0
2020-01-29,160.4061737060547,110.52220153808594,-288.4486404818215,,0.0,0.0,0.0
2020-01-30,164.9308319091797,111.30875396728516,-287.1183435884065,,0.0,0.0,0.0
2020-01-31,162.49667358398438,110.13336181640624,-284.77897751634447,,0.0,0.0,0.0
2020-02-03,166.45814514160156,110.56640625,-282.57619404194327,,0.0,0.0,0.0
2020-02-04,171.93740844726562,111.05247497558594,-279.0709620573096,,0.0,0.0,0.0
2020-02-05,171.72740173339844,112.06877136230467,-283.4083705010749,,0.0,0.0,0.0
2020-02-06,175.28793334960938,112.36042022705078,-281.0322886621208,,0.0,0.0,0.0
2020-02-07,175.53614807128906,111.42363739013672,-276.97959411334904,,0.0,0.0,0.0
2020-02-10,180.1276092529297,111.503173828125,-272.71114778843014,,0.0,0.0,0.0
2020-02-11,176.06112670898438,109.72683715820312,-269.5635389116744,,0.0,0.0,0.0
2020-02-12,176.3188934326172,109.099365234375,-266.7574715764136,,0.0,0.0,0.0
2020-02-13,175.36431884765625,110.43385314941406,-273.1316932259909,,0.0,0.0,0.0
2020-02-14,176.9298095703125,111.47666931152344,-275.8013068367786,,0.0,0.0,0.0
2020-02-18,178.7244110107422,110.3542938232422,-269.44849325226767,,0.0,0.0,0.0
2020-02-19,179.26046752929688,110.85803985595705,-270.9582594622277,,0.0,0.0,0.0
2020-02-20,176.5228729248047,111.86553955078124,-277.78753050838776,,0.0,0.0,0.0
2020-02-21,170.9425506591797,111.9715576171875,-283.79841531108764,,0.0,0.0,0.0
2020-02-24,163.57223510742188,108.9668197631836,-278.96583377634977,,0.0,0.0,0.0
2020-02-25,160.87301635742188,107.31419372558594,-274.953377019485,,0.0,0.0,0.0
2020-02-26,162.88308715820312,106.19182586669922,-268.38512505926093,,0.0,0.0,0.0
2020-02-27,151.40650939941406,100.30601501464844,-255.95813865106362,,0.0,0.0,0.0
2020-02-28,155.072509765625,100.06741333007812,-251.323124699326,,0.0,0.0,0.0
2020-03-02,165.39088439941406,105.66159057617188,-263.72392642454366,,0.0,0.0,0.0
2020-03-03,157.46546936035156,104.43316650390624,-266.6604428438958,,0.0,0.0,0.0
2020-03-04,163.24684143066406,110.02731323242188,-283.5981231940359,,0.0,0.0,0.0
2020-03-05,159.1501007080078,107.4909439086914,-277.39411378982686,,0.0,0.0,0.0
2020-03-06,154.65138244628906,107.51744842529295,-282.00047268581426,,0.0,0.0,0.0
2020-03-09,144.1702880859375,102.56842803955078,-272.3825136909101,,0.0,0.0,0.0
2020-03-10,154.02920532226562,106.53649139404295,-278.6387689256311,,0.0,0.0,0.0
2020-03-11,147.05137634277344,98.6180648803711,-253.45813732442497,,0.0,0.0,0.0
2020-03-12,133.1052703857422,90.00145721435547,-232.41031645919236,,0.0,0.0,0.0
2020-03-13,152.0286865234375,100.8097686767578,-257.38181524019336,,0.0,0.0,0.0
2020-03-16,129.6211395263672,95.8872528076172,-259.79794951627673,,0.0,0.0,0.0
2020-03-17,140.29371643066406,104.4950180053711,-284.0833882381822,,0.0,0.0,0.0
2020-03-18,134.3878936767578,103.7968521118164,-287.1538067198001,,0.0,0.0,0.0
2020-03-19,136.59896850585938,97.94640350341795,-261.1827815233193,,0.0,0.0,0.0
2020-03-20,131.46849060058594,90.52286529541016,-236.16464841107063,,0.0,0.0,0.0
2020-03-23,130.15716552734375,86.34271240234375,-220.49945904664418,,0.0,0.0,0.0
2020-03-24,141.9878692626953,91.26524353027344,-228.66023000155678,,0.0,0.0,0.0
2020-03-25,140.62864685058594,89.18838500976562,-221.58487608109277,,0.0,0.0,0.0
2020-03-26,149.42520141601562,94.8974609375,-235.97412653099877,,0.0,0.0,0.0
2020-03-27,143.28965759277344,97.3631362915039,-252.12331682044595,,0.0,0.0,0.0
2020-03-30,153.36874389648438,101.63165283203124,-259.37960903790963,,0.0,0.0,0.0
2020-03-31,150.95668029785156,97.21289825439452,-243.84614461334718,1.5736345488363035,0.0,0.0,0.0
