Date,Price1,Price2,Spread,Z-Score,Signal,Return,CumulativeReturn
2020-01-03,72.00912475585938,107.69068145751952,-164.28754255970313,,0.0,0.0,0.0
2020-01-06,72.58290100097656,107.8400650024414,-164.0415461497498,,0.0,0.0,0.0
2020-01-07,72.24154663085938,107.17235565185548,-162.91780166318335,,0.0,0.0,0.0
2020-01-08,73.40365600585938,107.62920379638672,-162.75811601288243,,0.0,0.0,0.0
2020-01-09,74.96279907226562,108.8064193725586,-163.78203875678136,,0.0,0.0,0.0
2020-01-10,75.13225555419922,108.911865234375,-163.84395332192636,,0.0,0.0,0.0
2020-01-13,76.7374267578125,109.7113037109375,-163.99292319327756,,0.0,0.0,0.0
2020-01-14,75.70124053955078,109.5443878173828,-164.66285980818307,,0.0,0.0,0.0
2020-01-15,75.37680053710938,110.66014099121094,-167.43550380519528,,0.0,0.0,0.0
2020-01-16,76.32099914550781,110.75677490234376,-166.7033409165203,,0.0,0.0,0.0
2020-01-17,77.16597747802734,111.05548095703124,-166.513788329983,,0.0,0.0,0.0
2020-01-21,76.64299774169922,110.77434539794922,-166.41989579123705,,0.0,0.0,0.0
2020-01-22,76.91658020019531,110.9676284790039,-166.57041825327414,,0.0,0.0,0.0
2020-01-23,77.28699493408203,110.46035766601562,-165.08694154491315,,0.0,0.0,0.0
2020-01-24,77.06426239013672,110.5929183959961,-165.60054102634422,,0.0,0.0,0.0
2020-01-27,74.79817962646484,111.07898712158205,-168.93316379503585,,0.0,0.0,0.0
2020-01-28,76.9141616821289,111.37946319580078,-167.47649129136823,,0.0,0.0,0.0
2020-01-29,78.52416229248047,110.52220153808594,-163.98547302940736,,0.0,0.0,0.0
2020-01-30,78.41036987304688,111.30875396728516,-165.8251317464003,,0.0,0.0,0.0
2020-01-31,74.93373107910156,110.13336181640624,-166.72270571985678,,0.0,0.0,0.0
2020-02-03,74.72795104980469,110.56640625,-167.87867897917909,,0.0,0.0,0.0
2020-02-04,77.19500732421875,111.05247497558594,-166.47816270978475,,0.0,0.0,0.0
2020-02-05,77.82447052001953,112.06877136230467,-168.07867378786037,,0.0,0.0,0.0
2020-02-06,78.73477935791016,112.36042022705078,-167.80830569352477,,0.0,0.0,0.0
2020-02-07,77.66456604003906,111.42363739013672,-166.82301467838138,,0.0,0.0,0.0
2020-02-10,78.0334243774414,111.503173828125,-166.6286765034705,,0.0,0.0,0.0
2020-02-11,77.56262969970703,109.72683715820312,-163.20180399726624,,0.0,0.0,0.0
2020-02-12,79.40457153320312,109.099365234375,-159.98305293173684,,0.0,0.0,0.0
2020-02-13,78.839111328125,110.43385314941406,-163.4766685039162,,0.0,0.0,0.0
2020-02-14,78.85855865478516,111.47666931152344,-165.74538557917276,,0.0,0.0,0.0
2020-02-18,77.41461181640625,110.3542938232422,-164.72659763151404,,0.0,0.0,0.0
2020-02-19,78.5357894897461,110.85803985595705,-164.7107478017064,,0.0,0.0,0.0
2020-02-20,77.73008728027344,111.86553955078124,-167.72712243878655,,0.0,0.0,0.0
2020-02-21,75.97066497802734,111.9715576171875,-169.71917132884863,,0.0,0.0,0.0
2020-02-24,72.36202239990234,108.9668197631836,-166.7347686086382,,0.0,0.0,0.0
2020-02-25,69.91096496582031,107.31419372558594,-165.55960676619634,,0.0,0.0,0.0
2020-02-26,71.02001190185547,106.19182586669922,-161.98784178466667,,0.0,0.0,0.0
2020-02-27,66.37754821777344,100.30601501464844,-153.7155623362336,,0.0,0.0,0.0
2020-02-28,66.33873748779297,100.06741333007812,-153.2308293192829,,0.0,0.0,0.0
2020-03-02,72.51493072509766,105.66159057617188,-159.32947195202462,,0.0,0.0,0.0
2020-03-03,70.21190643310547,104.43316650390624,-158.9370679079905,,0.0,0.0,0.0
2020-03-04,73.4686508178711,110.02731323242188,-167.95509243109868,,0.0,0.0,0.0
2020-03-05,71.08554077148438,107.4909439086914,-164.7728591240277,,0.0,0.0,0.0
2020-03-06,70.14153289794922,107.51744842529295,-165.7750236445168,,0.0,0.0,0.0
2020-03-09,64.59386444091797,102.56842803955078,-160.46347004259061,,0.0,0.0,0.0
2020-03-10,69.24603271484375,106.53649139404295,-164.5180917496845,,0.0,0.0,0.0
2020-03-11,66.84107208251953,98.6180648803711,-149.54831048011133,,0.0,0.0,0.0
2020-03-12,60.2402229309082,90.00145721435547,-137.24245714374197,,0.0,0.0,0.0
2020-03-13,67.4574966430664,100.8097686767578,-153.74095849501597,,0.0,0.0,0.0
2020-03-16,58.7792854309082,95.8872528076172,-151.61810429517075,,0.0,0.0,0.0
2020-03-17,61.36382293701172,104.4950180053711,-167.92086698752007,,0.0,0.0,0.0
2020-03-18,59.86164474487305,103.7968521118164,-167.89111807466182,,0.0,0.0,0.0
2020-03-19,59.40297317504883,97.94640350341795,-155.51263892953907,,0.0,0.0,0.0
2020-03-20,55.63174819946289,90.52286529541016,-142.99501407614565,,0.0,0.0,0.0
2020-03-23,54.44989776611328,86.34271240234375,-135.0047041690415,,0.0,0.0,0.0
2020-03-24,59.91259002685547,91.26524353027344,-140.34311080138914,,0.0,0.0,0.0
2020-03-25,59.582550048828125,89.18838500976562,-136.11607360022236,,0.0,0.0,0.0
2020-03-26,62.71796417236328,94.8974609375,-145.5076079267932,,0.0,0.0,0.0
2020-03-27,60.12129974365234,97.3631362915039,-153.51449783599824,,0.0,0.0,0.0
2020-03-30,61.837039947509766,101.63165283203124,-161.16480694352748,,0.0,0.0,0.0
2020-03-31,61.71085357666016,97.21289825439452,-151.59528922699215,1.1164741120061297,0.0,0.0,0.0
