entry_date,exit_date,ticker1,ticker2,direction,entry_price1,entry_price2,exit_price1,exit_price2,pnl,transaction_cost
2020-07-23,2020-07-24,AAPL,PG,long,90.37010955810548,112.94617462158205,90.14624786376952,112.76712036132812,-0.1691763533563625,0.3381984665515495
2020-07-28,2020-07-29,AAPL,PG,long,90.76675415039062,114.48602294921876,92.50658416748048,114.8709945678711,0.5531450778336217,0.34197387171129867
2020-07-30,2020-07-31,AAPL,PG,long,93.62594604492188,117.65524291992188,103.42752075195312,117.38664245605467,10.039155251411625,0.35178701827425196
2020-09-11,2020-09-14,AAPL,PG,long,109.21105194091795,123.67139434814452,112.48738098144533,124.11009216308594,1.9331582052747338,0.38057286274218793
2020-09-18,2020-09-21,AAPL,PG,long,104.1795425415039,122.98204803466795,107.33887481689452,122.39118194580078,4.081791603014226,0.3740287783056753
2020-12-01,2020-12-02,AAPL,PG,short,119.87056732177734,125.46532440185548,120.2222137451172,124.55611419677734,-2.7418190823568334,0.39516864899952375
2020-12-03,2020-12-04,AAPL,PG,short,120.08546447753906,123.63787078857422,119.41146850585938,123.75491333007812,0.5394389270364074,0.39137371733214366
2020-12-07,2020-12-08,AAPL,PG,short,120.87665557861328,123.94396209716795,121.49203491210938,124.27706909179688,-0.2773070174093537,0.3928365390249835
2020-12-09,2020-12-10,AAPL,PG,short,118.9523696899414,122.8006820678711,120.37849426269533,121.99047088623048,-3.5923069439288415,0.3884036492620029
2020-12-11,2020-12-14,AAPL,PG,short,119.56775665283205,122.89070129394533,118.9523696899414,122.29656219482422,-1.077499393950041,0.3892165578936932
2020-12-15,2020-12-16,AAPL,PG,short,124.91075134277344,123.01673126220705,124.84239196777344,123.57485961914062,0.8981777205936151,0.39483608961617145
2020-12-17,2020-12-18,AAPL,PG,short,125.71174621582033,124.45711517333984,123.71910095214844,125.16827392578124,3.1542839150827384,0.39879759859544484
2020-12-21,2020-12-22,AAPL,PG,short,125.25263214111328,123.79991912841795,128.81787109375,122.9267120361328,-5.878140793592701,0.39689645413253505
2020-12-23,2020-12-24,AAPL,PG,short,127.91927337646484,122.73767852783205,128.90579223632812,123.97998046875,1.3421282146363982,0.39723230954307265
2020-12-28,2020-12-29,AAPL,PG,short,133.51617431640625,124.84418487548828,131.73846435546875,124.61012268066406,0.856675495776321,0.4074513414129459
2020-12-30,2020-12-31,AAPL,PG,short,130.6151580810547,124.02499389648438,129.6090545654297,125.25829315185548,3.3094762158971536,0.4027528428363767
2021-01-20,2021-01-21,AAPL,PG,short,128.96438598632812,118.7676239013672,133.6920166015625,118.65079498291016,-5.373544815604809,0.3895662628901503
2021-01-22,2021-01-25,AAPL,PG,short,135.84091186523438,117.73609161376952,139.60154724121094,119.7647705078125,0.29654588950236105,0.3941793836304802
2021-01-26,2021-01-27,AAPL,PG,short,139.8359832763672,120.53460693359376,138.76153564453125,116.2689208984375,-8.689705941494923,0.4043150034582081
2021-01-28,2021-01-29,AAPL,PG,short,133.90689086914062,118.06212615966795,128.89602661132812,116.1149673461914,0.34541555941143687,0.39296075300598454
2021-03-29,2021-03-30,AAPL,PG,long,118.7486343383789,124.59195709228516,117.29106903076172,122.67193603515624,2.363246166663406,0.3921303590778954
2021-10-21,2021-10-22,AAPL,PG,short,146.69525146484375,128.58419799804688,145.91995239257812,129.96847534179688,3.383866407092673,0.4288368169666687
2021-11-10,2021-11-11,AAPL,PG,long,145.3761444091797,135.49649047851562,145.32705688476562,135.10890197753906,0.3586807734938595,0.442684775942521
2021-11-30,2021-12-01,AAPL,PG,short,162.45730590820312,133.4292449951172,161.93641662597656,135.10890197753906,3.7511903498360493,0.4552299533467377
2021-12-16,2021-12-17,AAPL,PG,long,169.29757690429688,148.68438720703125,168.1968536376953,145.31585693359375,5.795018042761288,0.4955433086924946
